season,source,source_label,source_url,published_at,target_week,safe_after,team,rating,ratings_sha256
2023,Bill Connelly public workbook,Bill Connelly 2023 SP+ FBS week 11,,2023-11-06T00:00:00-05:00,11,2023-11-06T00:00:00-05:00,Air Force,6.6,a18a4c11865c8593ef4c4ea5561f19ff8e28909340c821e795593da8d7b5b0c5
2023,Bill Connelly public workbook,Bill Connelly 2023 SP+ FBS week 11,,2023-11-06T00:00:00-05:00,11,2023-11-06T00:00:00-05:00,Akron,-20.6,a18a4c11865c8593ef4c4ea5561f19ff8e28909340c821e795593da8d7b5b0c5
2023,Bill Connelly public workbook,Bill Connelly 2023 SP+ FBS week 11,,2023-11-06T00:00:00-05:00,11,2023-11-06T00:00:00-05:00,Alabama,21.8,a18a4c11865c8593ef4c4ea5561f19ff8e28909340c821e795593da8d7b5b0c5
2023,Bill Connelly public workbook,Bill Connelly 2023 SP+ FBS week 11,,2023-11-06T00:00:00-05:00,11,2023-11-06T00:00:00-05:00,App. St.,-2.4,a18a4c11865c8593ef4c4ea5561f19ff8e28909340c821e795593da8d7b5b0c5
2023,Bill Connelly public workbook,Bill Connelly 2023 SP+ FBS week 11,,2023-11-06T00:00:00-05:00,11,2023-11-06T00:00:00-05:00,Arizona,9.2,a18a4c11865c8593ef4c4ea5561f19ff8e28909340c821e795593da8d7b5b0c5
2023,Bill Connelly public workbook,Bill Connelly 2023 SP+ FBS week 11,,2023-11-06T00:00:00-05:00,11,2023-11-06T00:00:00-05:00,Arizona St.,-7.1,a18a4c11865c8593ef4c4ea5561f19ff8e28909340c821e795593da8d7b5b0c5
2023,Bill Connelly public workbook,Bill Connelly 2023 SP+ FBS week 11,,2023-11-06T00:00:00-05:00,11,2023-11-06T00:00:00-05:00,Arkansas,4.0,a18a4c11865c8593ef4c4ea5561f19ff8e28909340c821e795593da8d7b5b0c5
2023,Bill Connelly public workbook,Bill Connelly 2023 SP+ FBS week 11,,2023-11-06T00:00:00-05:00,11,2023-11-06T00:00:00-05:00,Arkansas St.,-9.7,a18a4c11865c8593ef4c4ea5561f19ff8e28909340c821e795593da8d7b5b0c5
2023,Bill Connelly public workbook,Bill Connelly 2023 SP+ FBS week 11,,2023-11-06T00:00:00-05:00,11,2023-11-06T00:00:00-05:00,Army,-10.2,a18a4c11865c8593ef4c4ea5561f19ff8e28909340c821e795593da8d7b5b0c5
2023,Bill Connelly public workbook,Bill Connelly 2023 SP+ FBS week 11,,2023-11-06T00:00:00-05:00,11,2023-11-06T00:00:00-05:00,Auburn,6.7,a18a4c11865c8593ef4c4ea5561f19ff8e28909340c821e795593da8d7b5b0c5
2023,Bill Connelly public workbook,Bill Connelly 2023 SP+ FBS week 11,,2023-11-06T00:00:00-05:00,11,2023-11-06T00:00:00-05:00,Ball St.,-18.8,a18a4c11865c8593ef4c4ea5561f19ff8e28909340c821e795593da8d7b5b0c5
2023,Bill Connelly public workbook,Bill Connelly 2023 SP+ FBS week 11,,2023-11-06T00:00:00-05:00,11,2023-11-06T00:00:00-05:00,Baylor,-2.9,a18a4c11865c8593ef4c4ea5561f19ff8e28909340c821e795593da8d7b5b0c5
2023,Bill Connelly public workbook,Bill Connelly 2023 SP+ FBS week 11,,2023-11-06T00:00:00-05:00,11,2023-11-06T00:00:00-05:00,BGSU,-12.9,a18a4c11865c8593ef4c4ea5561f19ff8e28909340c821e795593da8d7b5b0c5
2023,Bill Connelly public workbook,Bill Connelly 2023 SP+ FBS week 11,,2023-11-06T00:00:00-05:00,11,2023-11-06T00:00:00-05:00,Boise St.,0.9,a18a4c11865c8593ef4c4ea5561f19ff8e28909340c821e795593da8d7b5b0c5
2023,Bill Connelly public workbook,Bill Connelly 2023 SP+ FBS week 11,,2023-11-06T00:00:00-05:00,11,2023-11-06T00:00:00-05:00,Boston Coll.,-3.1,a18a4c11865c8593ef4c4ea5561f19ff8e28909340c821e795593da8d7b5b0c5
2023,Bill Connelly public workbook,Bill Connelly 2023 SP+ FBS week 11,,2023-11-06T00:00:00-05:00,11,2023-11-06T00:00:00-05:00,Buffalo,-13.6,a18a4c11865c8593ef4c4ea5561f19ff8e28909340c821e795593da8d7b5b0c5
2023,Bill Connelly public workbook,Bill Connelly 2023 SP+ FBS week 11,,2023-11-06T00:00:00-05:00,11,2023-11-06T00:00:00-05:00,BYU,-2.1,a18a4c11865c8593ef4c4ea5561f19ff8e28909340c821e795593da8d7b5b0c5
2023,Bill Connelly public workbook,Bill Connelly 2023 SP+ FBS week 11,,2023-11-06T00:00:00-05:00,11,2023-11-06T00:00:00-05:00,California,-1.6,a18a4c11865c8593ef4c4ea5561f19ff8e28909340c821e795593da8d7b5b0c5
2023,Bill Connelly public workbook,Bill Connelly 2023 SP+ FBS week 11,,2023-11-06T00:00:00-05:00,11,2023-11-06T00:00:00-05:00,Charlotte,-20.2,a18a4c11865c8593ef4c4ea5561f19ff8e28909340c821e795593da8d7b5b0c5
2023,Bill Connelly public workbook,Bill Connelly 2023 SP+ FBS week 11,,2023-11-06T00:00:00-05:00,11,2023-11-06T00:00:00-05:00,Cincinnati,-2.7,a18a4c11865c8593ef4c4ea5561f19ff8e28909340c821e795593da8d7b5b0c5
2023,Bill Connelly public workbook,Bill Connelly 2023 SP+ FBS week 11,,2023-11-06T00:00:00-05:00,11,2023-11-06T00:00:00-05:00,Clemson,13.2,a18a4c11865c8593ef4c4ea5561f19ff8e28909340c821e795593da8d7b5b0c5
2023,Bill Connelly public workbook,Bill Connelly 2023 SP+ FBS week 11,,2023-11-06T00:00:00-05:00,11,2023-11-06T00:00:00-05:00,CMU,-17.2,a18a4c11865c8593ef4c4ea5561f19ff8e28909340c821e795593da8d7b5b0c5
2023,Bill Connelly public workbook,Bill Connelly 2023 SP+ FBS week 11,,2023-11-06T00:00:00-05:00,11,2023-11-06T00:00:00-05:00,Coastal Caro.,0.7,a18a4c11865c8593ef4c4ea5561f19ff8e28909340c821e795593da8d7b5b0c5
2023,Bill Connelly public workbook,Bill Connelly 2023 SP+ FBS week 11,,2023-11-06T00:00:00-05:00,11,2023-11-06T00:00:00-05:00,Colorado,-4.4,a18a4c11865c8593ef4c4ea5561f19ff8e28909340c821e795593da8d7b5b0c5
2023,Bill Connelly public workbook,Bill Connelly 2023 SP+ FBS week 11,,2023-11-06T00:00:00-05:00,11,2023-11-06T00:00:00-05:00,Colorado St.,-13.7,a18a4c11865c8593ef4c4ea5561f19ff8e28909340c821e795593da8d7b5b0c5
2023,Bill Connelly public workbook,Bill Connelly 2023 SP+ FBS week 11,,2023-11-06T00:00:00-05:00,11,2023-11-06T00:00:00-05:00,Duke,8.0,a18a4c11865c8593ef4c4ea5561f19ff8e28909340c821e795593da8d7b5b0c5
2023,Bill Connelly public workbook,Bill Connelly 2023 SP+ FBS week 11,,2023-11-06T00:00:00-05:00,11,2023-11-06T00:00:00-05:00,ECU,-15.0,a18a4c11865c8593ef4c4ea5561f19ff8e28909340c821e795593da8d7b5b0c5
2023,Bill Connelly public workbook,Bill Connelly 2023 SP+ FBS week 11,,2023-11-06T00:00:00-05:00,11,2023-11-06T00:00:00-05:00,EMU,-14.3,a18a4c11865c8593ef4c4ea5561f19ff8e28909340c821e795593da8d7b5b0c5
2023,Bill Connelly public workbook,Bill Connelly 2023 SP+ FBS week 11,,2023-11-06T00:00:00-05:00,11,2023-11-06T00:00:00-05:00,FAU,-7.5,a18a4c11865c8593ef4c4ea5561f19ff8e28909340c821e795593da8d7b5b0c5
2023,Bill Connelly public workbook,Bill Connelly 2023 SP+ FBS week 11,,2023-11-06T00:00:00-05:00,11,2023-11-06T00:00:00-05:00,FIU,-18.3,a18a4c11865c8593ef4c4ea5561f19ff8e28909340c821e795593da8d7b5b0c5
2023,Bill Connelly public workbook,Bill Connelly 2023 SP+ FBS week 11,,2023-11-06T00:00:00-05:00,11,2023-11-06T00:00:00-05:00,Florida,7.1,a18a4c11865c8593ef4c4ea5561f19ff8e28909340c821e795593da8d7b5b0c5
2023,Bill Connelly public workbook,Bill Connelly 2023 SP+ FBS week 11,,2023-11-06T00:00:00-05:00,11,2023-11-06T00:00:00-05:00,Florida St.,21.6,a18a4c11865c8593ef4c4ea5561f19ff8e28909340c821e795593da8d7b5b0c5
2023,Bill Connelly public workbook,Bill Connelly 2023 SP+ FBS week 11,,2023-11-06T00:00:00-05:00,11,2023-11-06T00:00:00-05:00,Fresno St.,4.6,a18a4c11865c8593ef4c4ea5561f19ff8e28909340c821e795593da8d7b5b0c5
2023,Bill Connelly public workbook,Bill Connelly 2023 SP+ FBS week 11,,2023-11-06T00:00:00-05:00,11,2023-11-06T00:00:00-05:00,Ga. Southern,-5.4,a18a4c11865c8593ef4c4ea5561f19ff8e28909340c821e795593da8d7b5b0c5
2023,Bill Connelly public workbook,Bill Connelly 2023 SP+ FBS week 11,,2023-11-06T00:00:00-05:00,11,2023-11-06T00:00:00-05:00,Ga. Tech,-0.1,a18a4c11865c8593ef4c4ea5561f19ff8e28909340c821e795593da8d7b5b0c5
2023,Bill Connelly public workbook,Bill Connelly 2023 SP+ FBS week 11,,2023-11-06T00:00:00-05:00,11,2023-11-06T00:00:00-05:00,Georgia,27.0,a18a4c11865c8593ef4c4ea5561f19ff8e28909340c821e795593da8d7b5b0c5
2023,Bill Connelly public workbook,Bill Connelly 2023 SP+ FBS week 11,,2023-11-06T00:00:00-05:00,11,2023-11-06T00:00:00-05:00,Georgia St.,-3.9,a18a4c11865c8593ef4c4ea5561f19ff8e28909340c821e795593da8d7b5b0c5
2023,Bill Connelly public workbook,Bill Connelly 2023 SP+ FBS week 11,,2023-11-06T00:00:00-05:00,11,2023-11-06T00:00:00-05:00,Hawaii,-17.9,a18a4c11865c8593ef4c4ea5561f19ff8e28909340c821e795593da8d7b5b0c5
2023,Bill Connelly public workbook,Bill Connelly 2023 SP+ FBS week 11,,2023-11-06T00:00:00-05:00,11,2023-11-06T00:00:00-05:00,Houston,-2.5,a18a4c11865c8593ef4c4ea5561f19ff8e28909340c821e795593da8d7b5b0c5
2023,Bill Connelly public workbook,Bill Connelly 2023 SP+ FBS week 11,,2023-11-06T00:00:00-05:00,11,2023-11-06T00:00:00-05:00,Illinois,-0.5,a18a4c11865c8593ef4c4ea5561f19ff8e28909340c821e795593da8d7b5b0c5
2023,Bill Connelly public workbook,Bill Connelly 2023 SP+ FBS week 11,,2023-11-06T00:00:00-05:00,11,2023-11-06T00:00:00-05:00,Indiana,-8.6,a18a4c11865c8593ef4c4ea5561f19ff8e28909340c821e795593da8d7b5b0c5
2023,Bill Connelly public workbook,Bill Connelly 2023 SP+ FBS week 11,,2023-11-06T00:00:00-05:00,11,2023-11-06T00:00:00-05:00,Iowa,7.4,a18a4c11865c8593ef4c4ea5561f19ff8e28909340c821e795593da8d7b5b0c5
2023,Bill Connelly public workbook,Bill Connelly 2023 SP+ FBS week 11,,2023-11-06T00:00:00-05:00,11,2023-11-06T00:00:00-05:00,Iowa St.,5.9,a18a4c11865c8593ef4c4ea5561f19ff8e28909340c821e795593da8d7b5b0c5
