season,target_week,ratings_through_week,workbook_tab,published_at,safe_after
2023,1,0,FBS week 1,2023-08-28T00:00:00-04:00,2023-08-28T00:00:00-04:00
2023,2,1,FBS week 2,2023-09-07T07:00:00-04:00,2023-09-07T07:00:00-04:00
2023,3,2,FBS week 3,2023-09-11T00:00:00-04:00,2023-09-11T00:00:00-04:00
2023,4,3,FBS week 4,2023-09-18T00:00:00-04:00,2023-09-18T00:00:00-04:00
2023,5,4,FBS week 5,2023-09-24T09:00:00-04:00,2023-09-24T09:00:00-04:00
2023,6,5,FBS week 6,2023-10-02T00:00:00-04:00,2023-10-02T00:00:00-04:00
2023,7,6,FBS week 7,2023-10-09T00:00:00-04:00,2023-10-09T00:00:00-04:00
2023,8,7,FBS week 8,2023-10-16T00:00:00-04:00,2023-10-16T00:00:00-04:00
2023,9,8,FBS week 9,2023-10-23T00:00:00-04:00,2023-10-23T00:00:00-04:00
2023,10,9,FBS week 10,2023-10-30T00:00:00-04:00,2023-10-30T00:00:00-04:00
2023,11,10,FBS week 11,2023-11-06T00:00:00-05:00,2023-11-06T00:00:00-05:00
2023,12,11,FBS week 12,2023-11-13T00:00:00-05:00,2023-11-13T00:00:00-05:00
2023,13,12,FBS week 13,2023-11-20T00:00:00-05:00,2023-11-20T00:00:00-05:00
2023,14,13,FBS week 14,2023-11-27T00:00:00-05:00,2023-11-27T00:00:00-05:00
