workbook_team,model_team,rating,resolution
Air Force,Air Force,7.8,2023_eligibility
Akron,Akron,-15.4,2023_eligibility
Alabama,Alabama,22.3,2023_eligibility
Appalachian State,App. St.,-3.1,explicit_workbook_alias
Arizona,Arizona,3.7,2023_eligibility
Arizona State,Arizona St.,-5.8,2023_eligibility
Arkansas,Arkansas,6.6,2023_eligibility
Arkansas State,Arkansas St.,-11.1,2023_eligibility
Army,Army,-8.2,2023_eligibility
Auburn,Auburn,8.0,2023_eligibility
Bowling Green,BGSU,-14.0,2023_eligibility
BYU,BYU,3.6,2023_eligibility
Ball State,Ball St.,-16.8,2023_eligibility
Baylor,Baylor,1.9,2023_eligibility
Boise State,Boise St.,3.3,2023_eligibility
Boston College,Boston Coll.,-9.4,2023_eligibility
Buffalo,Buffalo,-13.4,2023_eligibility
Central Michigan,CMU,-14.6,2023_eligibility
California,California,-1.3,2023_eligibility
Charlotte,Charlotte,-18.6,2023_eligibility
Cincinnati,Cincinnati,3.8,2023_eligibility
Clemson,Clemson,17.2,2023_eligibility
Coastal Carolina,Coastal Caro.,2.2,2023_eligibility
Colorado,Colorado,-2.4,2023_eligibility
Colorado State,Colorado St.,-10.1,2023_eligibility
Duke,Duke,11.3,2023_eligibility
East Carolina,ECU,-10.3,2023_eligibility
Eastern Michigan,EMU,-15.1,2023_eligibility
Florida Atlantic,FAU,-10.2,2023_eligibility
Florida International,FIU,-16.0,2023_eligibility
Florida,Florida,8.9,2023_eligibility
Florida State,Florida St.,16.1,2023_eligibility
Fresno State,Fresno St.,5.1,2023_eligibility
Georgia Southern,Ga. Southern,-3.1,2023_eligibility
Georgia Tech,Ga. Tech,-2.9,2023_eligibility
Georgia,Georgia,23.0,2023_eligibility
Georgia State,Georgia St.,-3.9,2023_eligibility
Hawaii,Hawaii,-14.0,explicit_workbook_alias
Houston,Houston,-0.2,2023_eligibility
Illinois,Illinois,2.4,2023_eligibility
Indiana,Indiana,-7.4,2023_eligibility
Iowa,Iowa,7.1,2023_eligibility
Iowa State,Iowa St.,3.4,2023_eligibility
James Madison,JMU,2.5,2023_eligibility
Jacksonville State,JSU,-9.2,2023_eligibility
Kansas,Kansas,4.0,2023_eligibility
Kansas State,Kansas St.,16.3,2023_eligibility
Kent State,Kent St.,-20.0,2023_eligibility
Kentucky,Kentucky,13.8,2023_eligibility
LSU,LSU,13.4,2023_eligibility
Louisiana Tech,La. Tech,-9.6,2023_eligibility
Liberty,Liberty,4.1,2023_eligibility
UL-Lafayette,Louisiana,-1.0,explicit_workbook_alias
Louisville,Louisville,11.3,2023_eligibility
Middle Tennessee,MTSU,-13.8,2023_eligibility
Marshall,Marshall,2.0,2023_eligibility
Maryland,Maryland,10.9,2023_eligibility
Memphis,Memphis,3.9,2023_eligibility
Miami-FL,Miami,18.5,explicit_workbook_alias
Miami-OH,Miami-OH,-3.0,explicit_workbook_alias
Michigan,Michigan,25.0,2023_eligibility
Michigan State,Michigan St.,2.5,2023_eligibility
Minnesota,Minnesota,4.0,2023_eligibility
Mississippi State,Miss. St.,2.2,2023_eligibility
Missouri,Missouri,12.1,2023_eligibility
North Carolina,N. Carolina,13.6,2023_eligibility
North Texas,N. Texas,-9.9,2023_eligibility
NC State,NC St.,2.5,2023_eligibility
Northern Illinois,NIU,-13.5,2023_eligibility
New Mexico State,NMSU,-11.0,2023_eligibility
Navy,Navy,-13.0,2023_eligibility
Nebraska,Nebraska,0.5,2023_eligibility
Nevada,Nevada,-18.1,2023_eligibility
New Mexico,New Mexico,-13.7,2023_eligibility
Northwestern,Northwestern,-8.7,2023_eligibility
Notre Dame,Notre Dame,20.6,2023_eligibility
Old Dominion,ODU,-9.8,2023_eligibility
Ohio,Ohio,-5.1,2023_eligibility
Ohio State,Ohio St.,24.5,2023_eligibility
Oklahoma,Oklahoma,20.6,2023_eligibility
Oklahoma State,Oklahoma St.,1.7,2023_eligibility
Ole Miss,Ole Miss,13.7,2023_eligibility
Oregon,Oregon,22.0,2023_eligibility
Oregon State,Oregon St.,15.3,2023_eligibility
Penn State,Penn St.,18.2,2023_eligibility
Pittsburgh,Pittsburgh,2.2,2023_eligibility
Purdue,Purdue,1.3,2023_eligibility
Rice,Rice,-10.9,2023_eligibility
Rutgers,Rutgers,2.2,2023_eligibility
South Alabama,S. Alabama,0.1,2023_eligibility
South Carolina,S. Carolina,5.6,2023_eligibility
Sam Houston,SHSU,-17.8,2023_eligibility
SMU,SMU,2.7,2023_eligibility
San Diego State,San Diego St.,-8.0,2023_eligibility
San Jose State,San Jose St.,-5.4,explicit_workbook_alias
