team,rating
Air Force,6.6
Akron,-20.6
Alabama,21.8
App. St.,-2.4
Arizona,9.2
Arizona St.,-7.1
Arkansas,4.0
Arkansas St.,-9.7
Army,-10.2
Auburn,6.7
BGSU,-12.9
BYU,-2.1
Ball St.,-18.8
Baylor,-2.9
Boise St.,0.9
Boston Coll.,-3.1
Buffalo,-13.6
CMU,-17.2
California,-1.6
Charlotte,-20.2
Cincinnati,-2.7
Clemson,13.2
Coastal Caro.,0.7
Colorado,-4.4
Colorado St.,-13.7
Duke,8.0
ECU,-15.0
EMU,-14.3
FAU,-7.5
FIU,-18.3
Florida,7.1
Florida St.,21.6
Fresno St.,4.6
Ga. Southern,-5.4
Ga. Tech,-0.1
Georgia,27.0
Georgia St.,-3.9
Hawaii,-17.9
Houston,-2.5
Illinois,-0.5
Indiana,-8.6
Iowa,7.4
Iowa St.,5.9
JMU,8.3
JSU,-6.1
Kansas,6.5
Kansas St.,16.6
Kent St.,-25.2
Kentucky,11.6
LSU,17.2
La. Tech,-11.7
Liberty,5.8
Louisiana,-2.9
Louisville,13.4
MTSU,-14.0
Marshall,-7.7
Maryland,6.8
Memphis,1.7
Miami,10.7
Miami-OH,-1.2
Michigan,30.5
Michigan St.,-2.4
Minnesota,3.5
Miss. St.,0.7
Missouri,13.3
N. Carolina,14.1
N. Texas,-8.9
NC St.,4.4
NIU,-9.9
NMSU,-4.5
Navy,-14.5
Nebraska,2.2
Nevada,-20.1
New Mexico,-17.7
Northwestern,-6.8
Notre Dame,18.5
ODU,-10.1
Ohio,-5.1
Ohio St.,25.5
Oklahoma,17.8
Oklahoma St.,8.0
Ole Miss,16.5
Oregon,25.2
Oregon St.,15.6
Penn St.,22.1
Pittsburgh,-1.3
Purdue,-6.4
Rice,-9.4
Rutgers,2.8
S. Alabama,1.5
S. Carolina,2.0
SHSU,-18.4
SMU,7.2
San Diego St.,-12.7
San Jose St.,-5.0
So. Miss,-13.9
Stanford,-10.3
Syracuse,-0.9
TCU,8.4
Temple,-17.5
Tennessee,18.0
Texas,21.8
Texas A&M,14.6
Texas St.,-5.0
Texas Tech,7.1
Toledo,4.3
Troy,6.0
Tulane,5.0
Tulsa,-14.7
UAB,-13.3
UCF,4.7
UCLA,13.3
UConn,-20.8
ULM,-18.3
UMass,-17.7
UNLV,-2.4
USC,14.9
USF,-13.9
UTEP,-15.9
UTSA,1.4
Utah,12.8
Utah St.,-10.0
Va. Tech,-1.1
Vanderbilt,-11.0
Virginia,-7.7
W. Virginia,4.2
WKU,-5.0
WMU,-15.6
Wake Forest,-0.9
Wash. St.,3.4
Washington,20.5
Wisconsin,8.9
Wyoming,-7.0
