apex_team,cfbd_team,classification,notes
Abilene Christian Wildcats,Abilene Christian,fcs,manual mapping
Air Force Falcons,Air Force,,auto guess
Akron Zips,Akron,,auto guess
Alabama Crimson Tide,Alabama,,auto guess
Albany,Albany,fcs,manual mapping
Alcorn State Braves,Alcorn State,fcs,manual mapping
Appalachian State Mountaineers,Appalachian State,fbs,manual mapping
Arizona State Sun Devils,Arizona State,,auto guess
Arizona Wildcats,Arizona,,auto guess
Arkansas Pine Bluff Golden Lions,Arkansas Pine Bluff,fcs,manual mapping
Arkansas Razorbacks,Arkansas,,auto guess
Arkansas State Red Wolves,Arkansas State,,auto guess
Army Black Knights,Army,fbs,manual mapping
Auburn Tigers,Auburn,,auto guess
Austin Peay Governors,Austin Peay,fcs,manual mapping
BYU Cougars,BYU,,auto guess
Ball State Cardinals,Ball State,,auto guess
Baylor Bears,Baylor,,auto guess
Bethune-Cookman Wildcats,Bethune-Cookman,fcs,manual mapping
Boise State Broncos,Boise State,,auto guess
Boston College Eagles,Boston College,,auto guess
Bowling Green Falcons,Bowling Green,,auto guess
Bryant Bulldogs,Bryant,fcs,manual mapping
Buffalo Bulls,Buffalo,,auto guess
California Golden Bears,California,fbs,manual mapping
Central Michigan Chippewas,Central Michigan,,auto guess
Charleston Southern Buccaneers,Charleston Southern,fcs,manual mapping
Charlotte 49ers,Charlotte,,auto guess
Cincinnati Bearcats,Cincinnati,,auto guess
Citadel Bulldogs,Citadel,fcs,manual mapping
Clemson Tigers,Clemson,,auto guess
Coastal Carolina Chanticleers,Coastal Carolina,fbs,manual mapping
Colorado Buffaloes,Colorado,fbs,manual mapping
Colorado State Rams,Colorado State,fbs,auto guess
Delaware Blue Hens,Delaware,,auto guess
Duke Blue Devils,Duke,,auto guess
Duquesne Dukes,Duquesne,fcs,manual mapping
East Carolina Pirates,East Carolina,,auto guess
Eastern Illinois Panthers,Eastern Illinois,fcs,manual mapping
Eastern Kentucky Colonels,Western Kentucky,,auto guess
Eastern Michigan Eagles,Eastern Michigan,,auto guess
Florida Atlantic Owls,Florida Atlantic,,auto guess
Florida Gators,Florida,,auto guess
Florida International Panthers,Florida International,,auto guess
Florida State Seminoles,Florida State,,auto guess
Fordham Rams,Fordham,fcs,manual mapping
Fresno State Bulldogs,Fresno State,,auto guess
Furman Paladins,Furman,fcs,manual mapping
Georgia Bulldogs,Georgia,,auto guess
Georgia Southern Eagles,Georgia Southern,,auto guess
Georgia State Panthers,Georgia State,,auto guess
Georgia Tech Yellow Jackets,Georgia Tech,,auto guess
Hawaii Rainbow Warriors,Hawai'i,,auto guess
Houston Baptist Huskies,Houston Baptist,,manual mapping
Houston Cougars,Houston,,auto guess
Idaho State Bengals,Idaho State,fcs,manual mapping
Idaho Vandals,Idaho,fcs,manual mapping
Illinois Fighting Illini,Illinois,,auto guess
Indiana Hoosiers,Indiana,,auto guess
Indiana State Sycamores,Indiana State,fcs,manual mapping
Iowa Hawkeyes,Iowa,fbs,manual mapping
Iowa State Cyclones,Iowa State,fbs,manual mapping
Jacksonville State Gamecocks,Jacksonville State,,auto guess
James Madison Dukes,James Madison,,auto guess
Kansas Jayhawks,Kansas,,auto guess
Kansas State Wildcats,Kansas State,,auto guess
Kennesaw State Owls,Kennesaw State,,auto guess
Kent State Golden Flashes,Kent State,,auto guess
Kentucky Wildcats,Kentucky,,auto guess
LIU Sharks,LIU,fcs,manual mapping
LSU Tigers,LSU,,auto guess
Lafayette Leopards,Lafayette,fcs,manual mapping
Lamar Cardinals,Lamar,fcs,manual mapping
Liberty Flames,Liberty,,auto guess
Louisiana Ragin Cajuns,Louisiana,,auto guess
Louisiana Tech Bulldogs,Louisiana Tech,,auto guess
Louisville Cardinals,Louisville,,auto guess
Maine Black Bears,Maine,fcs,manual mapping
Marshall Thundering Herd,Marshall,,auto guess
Memphis Tigers,Memphis,,auto guess
Mercyhurst Lakers,Mercyhurst,fcs,manual mapping
Merrimack Warriors,Merrimack,fcs,manual mapping
Miami (OH) RedHawks,Miami (OH),,auto guess
Miami Hurricanes,Miami,,auto guess
Michigan State Spartans,Michigan State,,auto guess
Michigan Wolverines,Michigan,,auto guess
Middle Tennessee Blue Raiders,Middle Tennessee,,auto guess
Minnesota Golden Gophers,Minnesota,,auto guess
Mississippi State Bulldogs,Mississippi State,,auto guess
Mississippi Valley State Delta Devils,Mississippi Valley State,fcs,manual mapping
Missouri State Bears,Missouri State,,auto guess
Missouri Tigers,Missouri,,auto guess
Morgan State Bears,Morgan State,fcs,manual mapping
Murray State Racers,Murray State,fcs,manual mapping
NC State Wolfpack,NC State,,auto guess
Navy Midshipmen,Navy,,auto guess
Nebraska Cornhuskers,Nebraska,,auto guess
Nevada Wolf Pack,Nevada,,auto guess
New Hampshire Wildcats,New Hampshire,fcs,manual mapping
New Mexico Lobos,New Mexico,,auto guess
New Mexico State Aggies,New Mexico State,,auto guess
Nicholls State Colonels,Nicholls State,fcs,manual mapping
Norfolk State Spartans,Norfolk State,fcs,manual mapping
North Alabama Lions,North Alabama,fcs,manual mapping
North Carolina A&T Aggies,North Carolina,,auto guess
North Carolina Tar Heels,North Carolina,,auto guess
North Dakota State Bison,North Dakota State,,auto guess
North Texas Mean Green,North Texas,,auto guess
Northern Arizona Lumberjacks,Northern Arizona,fcs,manual mapping
Northern Illinois Huskies,Northern Illinois,,auto guess
Northwestern State Demons,Northwestern State,fcs,manual mapping
Northwestern Wildcats,Northwestern,,auto guess
Notre Dame Fighting Irish,Notre Dame,,auto guess
Ohio Bobcats,Ohio,,auto guess
Ohio State Buckeyes,Ohio State,,auto guess
Oklahoma Sooners,Oklahoma,,auto guess
Oklahoma State Cowboys,Oklahoma State,,auto guess
Old Dominion Monarchs,Old Dominion,,auto guess
Ole Miss Rebels,Ole Miss,,auto guess
Oregon Ducks,Oregon,fbs,manual mapping
Oregon State Beavers,Oregon State,,auto guess
Penn State Nittany Lions,Penn State,,auto guess
Pittsburgh Panthers,Pittsburgh,,auto guess
Portland State Vikings,Portland State,fcs,manual mapping
Purdue Boilermakers,Purdue,,auto guess
Rhode Island Rams,Rhode Island,fcs,manual mapping
Rice Owls,Rice,,auto guess
Rutgers Scarlet Knights,Rutgers,,auto guess
SMU Mustangs,SMU,,auto guess
Sacramento State Hornets,Sacramento State,,auto guess
Sam Houston State Bearkats,Sam Houston State,fbs,manual mapping
San Diego State Aztecs,San Diego State,,auto guess
San Jose State Spartans,San José State,,auto guess
South Alabama Jaguars,South Alabama,,auto guess
South Carolina Gamecocks,South Carolina,,auto guess
South Dakota State Jackrabbits,North Dakota State,,auto guess
South Florida Bulls,South Florida,,auto guess
Southeast Missouri State Redhawks,Southeast Missouri State,fcs,manual mapping
Southeastern Louisiana Lions,Southeastern Louisiana,fcs,manual mapping
Southern Mississippi Golden Eagles,Southern Mississippi,fbs,manual mapping
Stanford Cardinal,Stanford,,auto guess
Syracuse Orange,Syracuse,,auto guess
TCU Horned Frogs,TCU,,auto guess
Tarleton State Texans,Tarleton State,fcs,manual mapping
Temple Owls,Temple,,auto guess
Tennessee State Tigers,Tennessee State,fcs,manual mapping
Tennessee Volunteers,Tennessee,,auto guess
Texas A&M Aggies,Texas A&M,,auto guess
Texas Longhorns,Texas,,auto guess
Texas State Bobcats,Texas State,,auto guess
Texas Tech Red Raiders,Texas Tech,,auto guess
Toledo Rockets,Toledo,,auto guess
Towson Tigers,Towson,fcs,manual mapping
Troy Trojans,Troy,,auto guess
Tulane Green Wave,Tulane,,auto guess
Tulsa Golden Hurricane,Tulsa,,auto guess
UAB Blazers,UAB,,auto guess
UCF Knights,UCF,,auto guess
UCLA Bruins,UCLA,,auto guess
UConn Huskies,UConn,,auto guess
UL Monroe Warhawks,UL Monroe,,auto guess
UMass Minutemen,UMASS,fbs,manual mapping
UNLV Rebels,UNLV,,auto guess
USC Trojans,USC,,auto guess
UT Rio Grande Valley Vaqueros,UT Rio Grande,fcs,manual mapping
UTEP Miners,UTEP,,auto guess
UTSA Roadrunners,UTSA,,auto guess
Utah State Aggies,Utah State,,auto guess
Utah Tech Trailblazers,Utah Tech,fcs,manual mapping
Utah Utes,Utah,,auto guess
VMI Keydets,VMI,fcs,manual mapping
Vanderbilt Commodores,Vanderbilt,,auto guess
Virginia Cavaliers,Virginia,,auto guess
Virginia Tech Hokies,Virginia Tech,,auto guess
Wake Forest Demon Deacons,Wake Forest,,auto guess
Washington Huskies,Washington,,auto guess
Washington State Cougars,Washington State,,auto guess
West Georgia Wolves,West Georgia,fcs,manual mapping
West Virginia Mountaineers,West Virginia,,auto guess
Western Kentucky Hilltoppers,Western Kentucky,,auto guess
Western Michigan Broncos,Western Michigan,,auto guess
Wisconsin Badgers,Wisconsin,,auto guess
Wyoming Cowboys,Wyoming,,auto guess
Youngstown St Penguins,Youngstown State,fcs,manual mapping
Maryland Terrapins,Maryland,,manual alias
