season,rating_year,week,game_id,away_team,home_team,selected_team,opponent_team,selected_side,provider,market_line,model_line,edge_points,recommendation,recommended_units,home_rating,away_rating,projected_home_margin,actual_home_margin,home_score,away_score,ats_result,cover_margin,flat_profit_units,recommended_profit_units
2023,2022,1,,Washington State,Colorado State,Washington State,Colorado State,away,DraftKings,-11.0,-29.2,18.2,Value,0.0,-22.2,9.5,-29.2,-26,24,50,win,15.0,0.9091,0.0
2023,2022,13,,UL Monroe,Louisiana,Louisiana,UL Monroe,home,DraftKings,-12.5,-20.2,7.7,Value,0.25,2.0,-15.7,20.2,31,52,21,win,18.5,0.9091,0.2273
2023,2022,12,,Old Dominion,Georgia Southern,Georgia Southern,Old Dominion,home,DraftKings,-7.0,-9.1,2.1,Lean,0.0,-6.4,-13.0,9.1,-3,17,20,loss,-10.0,-1.0,-0.0
2023,2022,11,,Duke,North Carolina,Duke,North Carolina,away,DraftKings,9.5,5.3,4.2,Value,0.0,7.8,5.0,5.3,2,47,45,win,7.5,0.9091,0.0
2023,2022,13,,BYU,Oklahoma State,BYU,Oklahoma State,away,DraftKings,17.5,15.2,2.3,Lean,0.0,11.3,-1.4,15.2,6,40,34,win,11.5,0.9091,0.0
2023,2022,13,,Air Force,Boise State,Air Force,Boise State,away,DraftKings,6.5,4.3,2.2,Lean,0.0,5.7,3.9,4.3,8,27,19,loss,-1.5,-1.0,-0.0
2023,2022,10,,Army,Air Force,Army,Air Force,away,DraftKings,18.5,7.9,10.6,Value,0.0,3.9,-1.5,7.9,-20,3,23,win,38.5,0.9091,0.0
2023,2022,11,,Akron,Miami (OH),Akron,Miami (OH),away,DraftKings,17.0,13.2,3.8,Lean,0.0,-12.7,-23.4,13.2,19,19,0,loss,-2.0,-1.0,-0.0
2023,2022,13,,Miami (OH),Ball State,Ball State,Miami (OH),home,DraftKings,6.5,-0.3,6.8,Value,0.0,-14.9,-12.7,0.3,-2,15,17,win,4.5,0.9091,0.0
2023,2022,11,,Bowling Green,Kent State,Kent State,Bowling Green,home,DraftKings,8.5,-7.5,16.0,Value,0.0,-13.1,-18.1,7.5,-30,19,49,loss,-21.5,-1.0,-0.0
2023,2022,11,,Eastern Michigan,Toledo,Eastern Michigan,Toledo,away,DraftKings,18.5,5.9,12.6,Value,0.0,-3.7,-7.1,5.9,26,49,23,loss,-7.5,-1.0,-0.0
2023,2022,13,,Charlotte,South Florida,Charlotte,South Florida,away,DraftKings,5.5,1.9,3.6,Lean,0.0,-17.0,-16.4,1.9,34,48,14,loss,-28.5,-1.0,-0.0
2023,2022,11,,Ball State,Northern Illinois,Ball State,Northern Illinois,away,DraftKings,10.5,-1.4,11.9,Value,0.0,-18.8,-14.9,-1.4,-3,17,20,win,13.5,0.9091,0.0
2023,2022,13,,Iowa State,Kansas State,Kansas State,Iowa State,home,DraftKings,-11.5,-18.6,7.1,Value,0.25,21.4,5.3,18.6,-7,35,42,loss,-18.5,-1.0,-0.25
2023,2022,13,,Missouri,Arkansas,Arkansas,Missouri,home,DraftKings,7.0,-6.4,13.4,Value,0.0,12.0,8.1,6.4,-34,14,48,loss,-27.0,-1.0,-0.0
2023,2022,12,,Hawai'i,Wyoming,Wyoming,Hawai'i,home,DraftKings,-14.5,-16.4,1.9,Watch,0.0,-10.8,-24.7,16.4,33,42,9,win,18.5,0.9091,0.0
2023,2022,13,,Liberty,UTEP,UTEP,Liberty,home,DraftKings,17.0,6.7,10.3,Value,0.0,-10.7,-1.5,-6.7,-14,28,42,win,3.0,0.9091,0.0
2023,2022,12,,App State,James Madison,App State,James Madison,away,DraftKings,11.5,7.3,4.2,Value,0.0,6.5,1.7,7.3,-3,23,26,win,14.5,0.9091,0.0
2023,2022,11,,Central Michigan,Western Michigan,Central Michigan,Western Michigan,away,DraftKings,3.5,-0.8,4.3,Value,0.0,-17.3,-14.0,-0.8,10,38,28,loss,-6.5,-1.0,-0.0
2023,2022,11,,Ohio,Buffalo,Buffalo,Ohio,home,DraftKings,7.0,2.1,4.9,Value,0.0,-9.2,-4.6,-2.1,-10,10,20,loss,-3.0,-1.0,-0.0
2023,2022,13,,Iowa,Nebraska,Iowa,Nebraska,away,DraftKings,-1.0,-11.4,10.4,Value,0.0,-1.2,12.7,-11.4,-3,10,13,win,2.0,0.9091,0.0
2023,2022,13,,South Alabama,Texas State,South Alabama,Texas State,away,DraftKings,-5.0,-19.8,14.8,Value,0.0,-11.5,10.8,-19.8,8,52,44,loss,-13.0,-1.0,-0.0
2023,2022,12,,UCF,Texas Tech,UCF,Texas Tech,away,DraftKings,3.0,0.7,2.3,Lean,0.0,8.5,10.3,0.7,1,24,23,win,2.0,0.9091,0.0
2023,2022,13,,Pittsburgh,Duke,Pittsburgh,Duke,away,DraftKings,6.5,-1.1,7.6,Value,0.25,5.0,8.6,-1.1,11,30,19,loss,-4.5,-1.0,-0.25
2023,2022,11,,Southern Miss,Louisiana,Southern Miss,Louisiana,away,DraftKings,12.0,8.0,4.0,Value,0.0,2.0,-3.5,8.0,-3,31,34,win,15.0,0.9091,0.0
2023,2022,11,,Virginia,Louisville,Louisville,Virginia,home,DraftKings,-19.5,-20.5,1.0,Watch,0.0,9.0,-9.0,20.5,7,31,24,loss,-12.5,-1.0,-0.0
2023,2022,13,,Memphis,Temple,Memphis,Temple,away,DraftKings,-11.0,-17.2,6.2,Value,0.0,-12.9,6.8,-17.2,-24,21,45,win,13.0,0.9091,0.0
2023,2022,12,,South Florida,UTSA,UTSA,South Florida,home,DraftKings,-15.5,-26.7,11.2,Value,0.0,7.2,-17.0,26.7,28,49,21,win,12.5,0.9091,0.0
2023,2022,11,,North Texas,SMU,North Texas,SMU,away,DraftKings,15.5,8.7,6.8,Value,0.0,4.7,-1.5,8.7,24,45,21,loss,-8.5,-1.0,-0.0
2023,2022,13,,Tulsa,East Carolina,East Carolina,Tulsa,home,DraftKings,-3.0,-9.7,6.7,Value,0.0,1.1,-6.1,9.7,-2,27,29,loss,-5.0,-1.0,-0.0
2023,2022,11,,Alabama,Kentucky,Alabama,Kentucky,away,DraftKings,-10.0,-14.8,4.8,Value,0.0,13.0,30.3,-14.8,-28,21,49,win,18.0,0.9091,0.0
2023,2022,11,,Wyoming,UNLV,Wyoming,UNLV,away,DraftKings,2.5,1.4,1.1,Watch,0.0,-11.9,-10.8,1.4,20,34,14,loss,-17.5,-1.0,-0.0
2023,2022,12,,Syracuse,Georgia Tech,Syracuse,Georgia Tech,away,DraftKings,6.0,-11.8,17.8,Value,0.0,-11.8,2.5,-11.8,9,31,22,loss,-3.0,-1.0,-0.0
2023,2022,13,,Vanderbilt,Tennessee,Tennessee,Vanderbilt,home,DraftKings,-25.5,-32.4,6.9,Value,0.0,25.2,-4.7,32.4,24,48,24,loss,-1.5,-1.0,-0.0
