season,week,game_id,gameday,away_team,home_team,selected_team,opponent_team,selected_side,market_line,market_odds,model_line,edge_points,recommendation,recommended_units,home_rating,away_rating,projected_home_margin,actual_home_margin,home_score,away_score,ats_result,cover_margin,flat_profit_units,recommended_profit_units
2022,1,2022_01_BUF_LA,2022-09-08,BUF,LA,BUF,LA,away,-1.0,-112,-1.7,0.7,No Play,0.0,2.8,6.0,-1.7,-21,10,31,win,20.0,0.8929,0.0
2022,1,2022_01_NO_ATL,2022-09-11,NO,ATL,ATL,NO,home,6.0,-107,2.9,3.1,Lean,0.0,-4.2,0.2,-2.9,-1,26,27,win,5.0,0.9346,0.0
2022,1,2022_01_CLE_CAR,2022-09-11,CLE,CAR,CLE,CAR,away,2.5,-112,-0.8,3.3,Lean,0.0,-1.7,0.6,-0.8,-2,24,26,win,4.5,0.8929,0.0
2022,1,2022_01_SF_CHI,2022-09-11,SF,CHI,CHI,SF,home,6.5,-111,4.8,1.7,No Play,0.0,-3.2,3.1,-4.8,9,19,10,win,15.5,0.9009,0.0
2022,1,2022_01_PIT_CIN,2022-09-11,PIT,CIN,PIT,CIN,away,7.5,-119,5.0,2.5,Watch,0.0,1.1,-2.4,5.0,-3,20,23,win,10.5,0.8403,0.0
2022,1,2022_01_PHI_DET,2022-09-11,PHI,DET,DET,PHI,home,6.0,-100,3.9,2.1,Watch,0.0,-4.0,1.4,-3.9,-3,35,38,win,3.0,1.0,0.0
2022,1,2022_01_IND_HOU,2022-09-11,IND,HOU,HOU,IND,home,7.0,-107,5.0,2.0,Watch,0.0,-5.6,0.9,-5.0,0,20,20,win,7.0,0.9346,0.0
2022,1,2022_01_NE_MIA,2022-09-11,NE,MIA,NE,MIA,away,3.0,-104,-3.1,6.1,Value,0.5,-0.7,3.9,-3.1,13,20,7,loss,-10.0,-1.0,-0.5
2022,1,2022_01_BAL_NYJ,2022-09-11,BAL,NYJ,NYJ,BAL,home,6.5,-107,2.7,3.8,Lean,0.0,-5.4,-1.2,-2.7,-15,9,24,loss,-8.5,-1.0,-0.0
2022,1,2022_01_JAX_WAS,2022-09-11,JAX,WAS,WAS,JAX,home,-3.0,-110,-3.5,0.5,No Play,0.0,-2.7,-4.7,3.5,6,28,22,win,3.0,0.9091,0.0
2022,1,2022_01_KC_ARI,2022-09-11,KC,ARI,ARI,KC,home,6.0,-104,-1.3,7.3,Value,0.0,2.6,2.8,1.3,-23,21,44,loss,-17.0,-1.0,-0.0
2022,1,2022_01_LV_LAC,2022-09-11,LV,LAC,LAC,LV,home,-3.5,-104,-4.0,0.5,No Play,0.0,1.3,-1.2,4.0,5,24,19,win,1.5,0.9615,0.0
2022,1,2022_01_GB_MIN,2022-09-11,GB,MIN,GB,MIN,away,2.5,-116,-1.3,3.8,Lean,0.0,0.4,3.2,-1.3,16,23,7,loss,-13.5,-1.0,-0.0
2022,1,2022_01_NYG_TEN,2022-09-11,NYG,TEN,TEN,NYG,home,-5.5,-102,-7.6,2.1,Watch,0.0,1.4,-4.7,7.6,-1,20,21,loss,-6.5,-1.0,-0.0
2022,1,2022_01_TB_DAL,2022-09-11,TB,DAL,DAL,TB,home,2.5,-102,-1.3,3.8,Lean,0.0,4.6,4.8,1.3,-16,3,19,loss,-13.5,-1.0,-0.0
2022,1,2022_01_DEN_SEA,2022-09-12,DEN,SEA,SEA,DEN,home,6.0,-103,-1.3,7.3,Value,0.0,0.2,0.4,1.3,1,17,16,win,7.0,0.9709,0.0
2022,2,2022_02_LAC_KC,2022-09-15,LAC,KC,LAC,KC,away,4.0,-113,3.8,0.2,No Play,0.0,4.1,1.8,3.8,3,27,24,win,1.0,0.885,0.0
2022,2,2022_02_MIA_BAL,2022-09-18,MIA,BAL,MIA,BAL,away,3.0,103,1.1,1.9,No Play,0.0,-0.5,-0.1,1.1,-4,38,42,win,7.0,1.03,0.0
2022,2,2022_02_NYJ_CLE,2022-09-18,NYJ,CLE,CLE,NYJ,home,-6.5,100,-7.1,0.6,No Play,0.0,0.5,-5.1,7.1,-1,30,31,loss,-7.5,-1.0,-0.0
2022,2,2022_02_WAS_DET,2022-09-18,WAS,DET,DET,WAS,home,1.0,-103,0.1,0.9,No Play,0.0,-3.9,-2.3,-0.1,9,36,27,win,10.0,0.9709,0.0
2022,2,2022_02_IND_JAX,2022-09-18,IND,JAX,IND,JAX,away,-3.0,-107,-3.9,0.9,No Play,0.0,-4.0,1.4,-3.9,24,24,0,loss,-27.0,-1.0,-0.0
2022,2,2022_02_TB_NO,2022-09-18,TB,NO,TB,NO,away,-2.5,-109,-3.3,0.8,No Play,0.0,0.5,5.3,-3.3,-10,10,20,win,7.5,0.9174,0.0
2022,2,2022_02_CAR_NYG,2022-09-18,CAR,NYG,CAR,NYG,away,-1.0,-106,-1.1,0.1,No Play,0.0,-4.1,-1.5,-1.1,3,19,16,loss,-4.0,-1.0,-0.0
2022,2,2022_02_NE_PIT,2022-09-18,NE,PIT,NE,PIT,away,-3.0,-102,-3.2,0.2,No Play,0.0,-1.8,2.9,-3.2,-3,14,17,push,0.0,0.0,0.0
2022,2,2022_02_ATL_LA,2022-09-18,ATL,LA,ATL,LA,away,10.5,-113,6.2,4.3,Lean,0.0,0.8,-3.9,6.2,4,31,27,win,6.5,0.885,0.0
2022,2,2022_02_SEA_SF,2022-09-18,SEA,SF,SEA,SF,away,8.5,-113,3.6,4.9,Lean,0.0,2.4,0.3,3.6,20,27,7,loss,-11.5,-1.0,-0.0
2022,2,2022_02_CIN_DAL,2022-09-18,CIN,DAL,DAL,CIN,home,7.5,-122,-3.6,11.1,Value,0.0,2.8,0.7,3.6,3,20,17,win,10.5,0.8197,0.0
2022,2,2022_02_HOU_DEN,2022-09-18,HOU,DEN,HOU,DEN,away,10.5,-114,7.1,3.4,Lean,0.0,0.2,-5.4,7.1,7,16,9,win,3.5,0.8772,0.0
2022,2,2022_02_ARI_LV,2022-09-18,ARI,LV,ARI,LV,away,5.5,-110,-0.6,6.1,Value,0.5,-1.6,0.5,-0.6,-6,23,29,win,11.5,0.9091,0.4546
2022,2,2022_02_CHI_GB,2022-09-18,CHI,GB,CHI,GB,away,10.5,-111,5.6,4.9,Lean,0.0,1.6,-2.5,5.6,17,27,10,loss,-6.5,-1.0,-0.0
2022,2,2022_02_TEN_BUF,2022-09-19,TEN,BUF,TEN,BUF,away,10.0,-115,6.9,3.1,Lean,0.0,6.7,1.3,6.9,34,41,7,loss,-24.0,-1.0,-0.0
