week,artifact_dir,rows_sha256,artifact_directory_sha256,modeled_rows
1,outputs/replays/ncaaf_v0_6/2023/week_01/replay_001,394aaf0fa399f731f7c205d4c7b518e953f00c85be6d2c2a3e1385431a8b330c,e7280795c1b549ae80ce51dc936617a0557bf4fb1965352afb3efd6c706caa32,45
2,outputs/replays/ncaaf_v0_6/2023/week_02/replay_001,01a8de92853204a1a2fb1f0275fe65b63675cf4f0954846b456b128472d18f97,675a5a17bfd4238b6200fe0f966d4b04208c069a28b47d034884bc2ff54460ac,47
3,outputs/replays/ncaaf_v0_6/2023/week_03/replay_001,b0bc9a981c7752f159fad5e9dfe66b1ea22a2586a362c7b4ecb5c9321b128a9f,50ff504078b012770f417fb2df62836da8feca3a7c588f91889343c257aaa272,10
4,outputs/replays/ncaaf_v0_6/2023/week_04/replay_001,95ed5237f1765f47f1e295e0a8263f0a56441cc4f4f031e6a5685a553d61d849,369ff866b889d4f4d0959d0f1d836e1b377a2fca30bf0a731c37ba3cd1cea6ca,63
5,outputs/replays/ncaaf_v0_6/2023/week_05/replay_001,3f167a45701e2fab07537c16df2fbe9666bf60ea0fdeba109e8fbee4e1fda53f,beafa23e3c3b62844e49d2d186edc05a656508bcfc9c5e856fe52436c783e6e9,56
6,outputs/replays/ncaaf_v0_6/2023/week_06/replay_001,ae13c25ec384485efdbd5efe31484c8e71c578ce19953edc897f7aabed0ba9cc,96c7cf869f972c01796a556f51b5e44fb5e34505ed03448e2c1cf645945bf62e,49
7,outputs/replays/ncaaf_v0_6/2023/week_07/replay_001,89243d4514514066c96dca3070273d1cd4c761b87cf942f4152b75c10198539c,79e97b885a9c3284d0e3518c3a3e7f51c85b285df49f17f795eeb3532ea2b191,55
8,outputs/replays/ncaaf_v0_6/2023/week_08/replay_001,8754cf0077a04fd321ec156ebaffe73c4606054b771f0b1568c48614a1fad8a2,ad44d83484d321a12f2e0689b453b9fc049c40f14690fc0fa87c8271d33ae8ef,54
9,outputs/replays/ncaaf_v0_6/2023/week_09/replay_001,36df8c22d464df9aa5326add542dea2304e83aa93ab007291581a8edeeb44208,ebfc92461e0653f7629128793cfa557db40638712928e5325bb7c7046223c20b,54
10,outputs/replays/ncaaf_v0_6/2023/week_10/replay_001,277d55011973ecdda5568af201d3ec51a2be585ddc0b1e61843dc44bb9b900fc,325f25e8f6184e3c0c384873fb8ca3040c9e9620b666709938687903517b3c8c,62
11,outputs/replays/ncaaf_v0_6/2023/week_11/replay_001,0354a6d102faca5d4e559d55a0130f8175126e3dfecd8718720e9e940d8c34a9,4c4efe9c884c5f17c623d459bf13e057cffb8845f843fe0cf7b9c8be1b43047c,63
12,outputs/replays/ncaaf_v0_6/2023/week_12/replay_001,d2e13a5b40c64101f9790411b21d844e5d571047fb1ba8fd31371f3f0547470c,2eaad1c050687195fe6e1797c2714b29975dbee824053e36680e54f708de3cf0,64
13,outputs/replays/ncaaf_v0_6/2023/week_13/replay_001,90c6829d445bdd6a1212ce8c66cfb31c049916795b749d423499a0dd27b676c9,f0aff837b1a62c3bdd1a3b7562a906a731d9f76a9355f15eed7ca506bd37887a,65
14,outputs/replays/ncaaf_v0_6/2023/week_14/replay_001,f41da5110269c0b1a3780508fd1864f30b4aa545d2d04ebeff9c4d8fb8bfb9a6,de2d3c903c51cba5c7cac09170a59f2a2de1271121b00d0938b03e4db34d7836,10
