static_edge_bucket,weekly_edge_bucket,n
1.0-1.9,1.0-1.9,9
1.0-1.9,10.0+,1
1.0-1.9,2.0-3.9,12
1.0-1.9,4.0-6.9,15
1.0-1.9,7.0-9.9,6
1.0-1.9,<1.0,13
10.0+,1.0-1.9,34
10.0+,10.0+,5
10.0+,2.0-3.9,60
10.0+,4.0-6.9,54
10.0+,7.0-9.9,10
10.0+,<1.0,34
2.0-3.9,1.0-1.9,22
2.0-3.9,10.0+,2
2.0-3.9,2.0-3.9,41
2.0-3.9,4.0-6.9,30
2.0-3.9,7.0-9.9,5
2.0-3.9,<1.0,19
4.0-6.9,1.0-1.9,28
4.0-6.9,10.0+,4
4.0-6.9,2.0-3.9,31
4.0-6.9,4.0-6.9,28
4.0-6.9,7.0-9.9,17
4.0-6.9,<1.0,35
7.0-9.9,1.0-1.9,23
7.0-9.9,10.0+,2
7.0-9.9,2.0-3.9,24
7.0-9.9,4.0-6.9,28
7.0-9.9,7.0-9.9,10
7.0-9.9,<1.0,32
<1.0,1.0-1.9,9
<1.0,10.0+,1
<1.0,2.0-3.9,21
<1.0,4.0-6.9,6
<1.0,7.0-9.9,2
<1.0,<1.0,4
