week,event_id,away_team,home_team,opening_home_spread,archival_home_spread,absolute_movement
6,401525861,Oklahoma,Texas,-6.5,5.5,12.0
2,401520188,Nebraska,Colorado,-7.5,3.0,10.5
11,401524053,USC,Oregon,-2.0,-12.5,10.5
13,401520424,Ole Miss,Mississippi State,-1.5,-11.0,9.5
10,401524048,Washington,USC,-6.0,3.0,9.0
2,401523999,Utah,Baylor,1.5,-7.0,8.5
4,401520250,Ole Miss,Alabama,15.5,7.0,8.5
9,401524044,Oregon,Utah,-1.5,6.5,8.0
10,401525441,Notre Dame,Clemson,5.0,-3.0,8.0
12,401525897,Baylor,TCU,-4.0,-12.0,8.0
6,401520310,Alabama,Texas A&M,8.5,1.0,7.5
6,401520300,Kentucky,Georgia,21.5,14.5,7.0
8,401525529,Clemson,Miami,10.0,3.0,7.0
9,401520352,Georgia,Florida,21.5,14.5,7.0
11,401524056,Utah,Washington,3.5,10.5,7.0
13,401520435,Penn State,Michigan State,-13.0,-20.0,7.0
13,401524063,Oregon State,Oregon,7.0,14.0,7.0
4,401525844,Texas,Baylor,-8.0,-14.5,6.5
11,401520382,Ole Miss,Georgia,19.5,13.0,6.5
8,401520343,Penn State,Ohio State,-10.0,-4.0,6.0
