week,event_id,away_team,home_team,away_spplus,home_spplus,model_margin,archival_dk_home_spread,actual_home_margin,signed_error_projected_minus_actual,absolute_error,recommendation,actionability
12,401531919,Texas State,Arkansas State,,,93.2,3.5,46.0,47.2,47.2,Lean,Review Only
7,401524030,Arizona,Washington State,"{'rating': 6.6, 'source': 'Bill Connelly 2023 SP+ FBS week 7', 'tier': 'Historical weekly SP+ snapshot', 'notes': 'Replay snapshot 167bfe761254 target week 7'}",,-83.7,-7.5,-38.0,-45.7,45.7,No Play,Guarded / Other
10,401520361,Army,Air Force,"{'rating': -13.2, 'source': 'Bill Connelly 2023 SP+ FBS week 10', 'tier': 'Historical weekly SP+ snapshot', 'notes': 'Replay snapshot 6055d0893b9a target week 10'}","{'rating': 8.8, 'source': 'Bill Connelly 2023 SP+ FBS week 10', 'tier': 'Historical weekly SP+ snapshot', 'notes': 'Replay snapshot 6055d0893b9a target week 10'}",-64.5,-18.5,-20.0,-44.5,44.5,Value,Review Only
11,401525892,Oklahoma State,UCF,,"{'rating': 4.7, 'source': 'Bill Connelly 2023 SP+ FBS week 11', 'tier': 'Historical weekly SP+ snapshot', 'notes': 'Replay snapshot a18a4c11865c target week 11'}",84.8,2.5,42.0,42.8,42.8,Watch,Review Only
1,401525817,Texas State,Baylor,,"{'rating': 10.7, 'source': 'Bill Connelly 2023 SP+ FBS week 1', 'tier': 'Historical weekly SP+ snapshot', 'notes': 'Replay snapshot de7ac68ce130 target week 1'}",-53.6,-27.5,-11.0,-42.6,42.6,Value,Review Only
9,401531342,Tulsa,SMU,"{'rating': -10.5, 'source': 'Bill Connelly 2023 SP+ FBS week 9', 'tier': 'Historical weekly SP+ snapshot', 'notes': 'Replay snapshot 5dd9ca192633 target week 9'}","{'rating': 4.0, 'source': 'Bill Connelly 2023 SP+ FBS week 9', 'tier': 'Historical weekly SP+ snapshot', 'notes': 'Replay snapshot 5dd9ca192633 target week 9'}",17.0,20.5,59.0,-42.0,42.0,Lean,Review Only
6,401532418,Northern Illinois,Akron,,"{'rating': -15.4, 'source': 'Bill Connelly 2023 SP+ FBS week 6', 'tier': 'Historical weekly SP+ snapshot', 'notes': 'Replay snapshot 5184ea909167 target week 6'}",-82.6,5.0,-41.0,-41.6,41.6,Value,Review Only
7,401531420,Florida Atlantic,South Florida,,,-0.5,2.5,-42.0,41.5,41.5,Lean,Review Only
13,401524066,California,UCLA,"{'rating': -2.7, 'source': 'Bill Connelly 2023 SP+ FBS week 13', 'tier': 'Historical weekly SP+ snapshot', 'notes': 'Replay snapshot 1116bf386f70 target week 13'}","{'rating': 9.6, 'source': 'Bill Connelly 2023 SP+ FBS week 13', 'tier': 'Historical weekly SP+ snapshot', 'notes': 'Replay snapshot 1116bf386f70 target week 13'}",-66.8,-10.0,-26.0,-40.8,40.8,Value,Review Only
8,401531391,SMU,Temple,"{'rating': 1.8, 'source': 'Bill Connelly 2023 SP+ FBS week 8', 'tier': 'Historical weekly SP+ snapshot', 'notes': 'Replay snapshot 61660a405234 target week 8'}","{'rating': -15.7, 'source': 'Bill Connelly 2023 SP+ FBS week 8', 'tier': 'Historical weekly SP+ snapshot', 'notes': 'Replay snapshot 61660a405234 target week 8'}",-95.0,22.5,-55.0,-40.0,40.0,Value,Model Play
8,401531341,Rice,Tulsa,"{'rating': -12.1, 'source': 'Bill Connelly 2023 SP+ FBS week 8', 'tier': 'Historical weekly SP+ snapshot', 'notes': 'Replay snapshot 61660a405234 target week 8'}","{'rating': -7.5, 'source': 'Bill Connelly 2023 SP+ FBS week 8', 'tier': 'Historical weekly SP+ snapshot', 'notes': 'Replay snapshot 61660a405234 target week 8'}",-71.1,-3.0,-32.0,-39.1,39.1,Value,Review Only
11,401520380,Auburn,Arkansas,"{'rating': 6.7, 'source': 'Bill Connelly 2023 SP+ FBS week 11', 'tier': 'Historical weekly SP+ snapshot', 'notes': 'Replay snapshot a18a4c11865c target week 11'}","{'rating': 4.0, 'source': 'Bill Connelly 2023 SP+ FBS week 11', 'tier': 'Historical weekly SP+ snapshot', 'notes': 'Replay snapshot a18a4c11865c target week 11'}",-0.20000000000000284,3.0,-38.0,37.8,37.8,Lean,Review Only
1,401525822,Arkansas State,Oklahoma,,"{'rating': 19.0, 'source': 'Bill Connelly 2023 SP+ FBS week 1', 'tier': 'Historical weekly SP+ snapshot', 'notes': 'Replay snapshot de7ac68ce130 target week 1'}",35.7,36.0,73.0,-37.3,37.3,No Play,Guarded / Other
6,401531885,South Alabama,UL Monroe,,,-11.100000000000001,-10.0,-48.0,36.9,36.9,Watch,Review Only
1,401525468,Clemson,Duke,"{'rating': 23.3, 'source': 'Bill Connelly 2023 SP+ FBS week 1', 'tier': 'Historical weekly SP+ snapshot', 'notes': 'Replay snapshot de7ac68ce130 target week 1'}","{'rating': 5.8, 'source': 'Bill Connelly 2023 SP+ FBS week 1', 'tier': 'Historical weekly SP+ snapshot', 'notes': 'Replay snapshot de7ac68ce130 target week 1'}",-15.0,-13.0,21.0,-36.0,36.0,Lean,Review Only
11,401532613,Air Force,Hawai'i,"{'rating': 6.6, 'source': 'Bill Connelly 2023 SP+ FBS week 11', 'tier': 'Historical weekly SP+ snapshot', 'notes': 'Replay snapshot a18a4c11865c target week 11'}",,-22.0,-20.0,14.0,-36.0,36.0,Lean,Review Only
10,401524049,Arizona State,Utah,,"{'rating': 10.7, 'source': 'Bill Connelly 2023 SP+ FBS week 10', 'tier': 'Historical weekly SP+ snapshot', 'notes': 'Replay snapshot 6055d0893b9a target week 10'}",86.7,-11.0,52.0,34.7,34.7,Value,Review Only
10,401532611,UNLV,New Mexico,"{'rating': -4.7, 'source': 'Bill Connelly 2023 SP+ FBS week 10', 'tier': 'Historical weekly SP+ snapshot', 'notes': 'Replay snapshot 6055d0893b9a target week 10'}","{'rating': -15.2, 'source': 'Bill Connelly 2023 SP+ FBS week 10', 'tier': 'Historical weekly SP+ snapshot', 'notes': 'Replay snapshot 6055d0893b9a target week 10'}",-76.0,10.0,-42.0,-34.0,34.0,Lean,Review Only
6,401525860,UCF,Kansas,"{'rating': 11.2, 'source': 'Bill Connelly 2023 SP+ FBS week 6', 'tier': 'Historical weekly SP+ snapshot', 'notes': 'Replay snapshot 5184ea909167 target week 6'}","{'rating': 4.0, 'source': 'Bill Connelly 2023 SP+ FBS week 6', 'tier': 'Historical weekly SP+ snapshot', 'notes': 'Replay snapshot 5184ea909167 target week 6'}",-4.700000000000003,-1.5,29.0,-33.7,33.7,Lean,Review Only
8,401520339,Army,LSU,"{'rating': -10.9, 'source': 'Bill Connelly 2023 SP+ FBS week 8', 'tier': 'Historical weekly SP+ snapshot', 'notes': 'Replay snapshot 61660a405234 target week 8'}","{'rating': 15.0, 'source': 'Bill Connelly 2023 SP+ FBS week 8', 'tier': 'Historical weekly SP+ snapshot', 'notes': 'Replay snapshot 61660a405234 target week 8'}",28.4,33.0,62.0,-33.6,33.6,Value,Review Only
