week,event_id,home_team,away_team,reason
1,401520152,BYU,Sam Houston,absent_from_2022_final_SP+
2,401520187,Coastal Carolina,Jacksonville State,absent_from_2022_final_SP+
2,401520211,Sam Houston,Air Force,absent_from_2022_final_SP+
4,401520257,Jacksonville State,Eastern Michigan,absent_from_2022_final_SP+
4,401520254,Houston,Sam Houston,absent_from_2022_final_SP+
5,401520276,Sam Houston,Jacksonville State,absent_from_2022_final_SP+
6,401520294,Middle Tennessee,Jacksonville State,absent_from_2022_final_SP+
6,401520296,Liberty,Sam Houston,absent_from_2022_final_SP+
7,401520312,Jacksonville State,Liberty,absent_from_2022_final_SP+
7,401520315,New Mexico State,Sam Houston,absent_from_2022_final_SP+
8,401520329,Jacksonville State,Western Kentucky,absent_from_2022_final_SP+
8,401520331,Sam Houston,Florida International,absent_from_2022_final_SP+
9,401520347,Florida International,Jacksonville State,absent_from_2022_final_SP+
9,401520348,Sam Houston,UTEP,absent_from_2022_final_SP+
10,401520376,South Carolina,Jacksonville State,absent_from_2022_final_SP+
11,401520387,Louisiana Tech,Sam Houston,absent_from_2022_final_SP+
12,401520407,Jacksonville State,Louisiana Tech,absent_from_2022_final_SP+
12,401520423,Western Kentucky,Sam Houston,absent_from_2022_final_SP+
13,401520440,Sam Houston,Middle Tennessee,absent_from_2022_final_SP+
13,401520437,New Mexico State,Jacksonville State,absent_from_2022_final_SP+
