week,shared_games,static_mae,weekly_mae,mae_difference_weekly_minus_static,static_signed_bias,weekly_signed_bias,weekly_better,static_better,ties,mean_abs_model_line_change,median_abs_model_line_change,max_abs_model_line_change
1,44,13.65,12.18,-1.47,-1.79,-5.96,27,17,0,16.34,10.10,79.40
2,45,12.63,12.23,-0.40,-3.20,-4.90,23,22,0,17.07,13.30,54.40
3,10,16.61,14.19,-2.42,0.37,-8.79,7,3,0,17.18,6.55,54.50
4,61,12.24,10.50,-1.74,4.05,-4.19,32,29,0,15.50,10.00,65.10
5,55,12.58,10.64,-1.94,-1.55,0.51,33,22,0,14.92,11.50,50.70
6,47,13.04,12.47,-0.56,1.33,-2.11,23,24,0,14.87,8.00,80.50
7,53,13.18,13.67,0.50,0.04,-1.88,29,24,0,16.09,11.00,98.90
8,52,14.49,13.56,-0.94,2.65,-2.99,27,24,1,17.92,9.55,82.70
9,52,17.25,14.45,-2.80,-2.84,-5.60,32,19,1,15.62,9.50,66.30
10,61,13.90,12.38,-1.53,-0.34,-4.74,35,26,0,17.62,11.60,72.40
11,62,17.01,14.64,-2.37,-1.85,-0.85,39,23,0,18.48,13.30,83.30
12,62,13.41,10.80,-2.61,-1.99,2.40,35,26,1,14.61,9.05,92.20
13,63,16.39,12.37,-4.02,4.11,-0.76,46,17,0,17.34,14.00,87.30
14,10,10.65,10.83,0.18,1.99,3.49,5,5,0,15.52,12.90,36.10
