event_id,kickoff,home,away,home_key,away_key,home_sp,away_sp,proj_home,actual_home,model_err,market_err,archival_home_spread,opening_home_spread,selected_side,selected_team,sel_proj,sel_actual,edge,rec,action,action_roll,ats,units,proj_ok,time_ok,ident_ok,result_ok,sbucket,ebucket,move,absmove
401520277,2023-09-28T23:30:00.000Z,Western Kentucky,Middle Tennessee,WKU,MTSU,-8.3,-15.4,9.6,21,-11.4,-14.0,-7.0,-5.5,home,Western Kentucky,9.6,21,2.6,Lean,Review Only,Review Only,win,0.0,True,True,True,True,7–13.5,2.0–3.9,-1.5,1.5
401531339,2023-09-28T23:30:00.000Z,Tulsa,Temple,Tulsa,Temple,-11.4,-14.0,5.1,22,-16.9,-19.0,-3.0,-3.5,home,Tulsa,5.1,22,2.1,Lean,Review Only,Review Only,win,0.0,True,True,True,True,0–6.5,2.0–3.9,0.5,0.5
401520276,2023-09-29T00:00:00.000Z,Sam Houston,Jacksonville State,SHSU,JSU,-19.3,-9.5,-7.300000000000001,-7,-0.3000000000000007,0.5,6.5,6.5,away,Jacksonville State,7.300000000000001,7,0.8,No Play,No Play,Guarded / Other,win,0.0,True,True,True,True,7–13.5,<1.0,0.0,0.0
401525512,2023-09-29T23:00:00.000Z,NC State,Louisville,NC St.,Louisville,3.1,12.8,-7.200000000000001,-3,-4.200000000000001,-0.5,3.5,3.5,away,Louisville,7.200000000000001,3,3.7,Lean,Review Only,Review Only,loss,0.0,True,True,True,True,7–13.5,2.0–3.9,0.0,0.0
401520278,2023-09-30T01:00:00.000Z,UTEP,Louisiana Tech,UTEP,La. Tech,-17.3,-14.3,-0.5,-14,13.5,15.0,-1.0,-1.0,away,Louisiana Tech,0.5,14,1.5,Watch,Review Only,Review Only,win,0.0,True,True,True,True,0–6.5,1.0–1.9,0.0,0.0
401524020,2023-09-30T01:00:00.000Z,Oregon State,Utah,Oregon St.,Utah,15.8,16.8,1.5,14,-12.5,-10.5,-3.5,-2.5,away,Utah,-1.5,-14,2.0,Lean,Review Only,Review Only,loss,0.0,True,True,True,True,0–6.5,2.0–3.9,-1.0,1.0
401525851,2023-09-30T02:15:00.000Z,BYU,Cincinnati,BYU,Cincinnati,4.3,3.9,2.9,8,-5.1,-10.0,2.0,-2.5,home,BYU,2.9,8,4.9,Value,Review Only,Review Only,win,0.0,True,True,True,True,0–6.5,4.0–6.9,4.5,4.5
401520279,2023-09-30T16:00:00.000Z,Arkansas,Texas A&M,Arkansas,Texas A&M,8.8,19.6,-8.3,-12,3.6999999999999993,6.0,6.0,4.0,away,Texas A&M,8.3,12,2.3,Lean,Review Only,Review Only,win,0.0,True,True,True,True,7–13.5,2.0–3.9,2.0,2.0
401520282,2023-09-30T16:00:00.000Z,Kentucky,Florida,Kentucky,Florida,14.7,11.9,5.299999999999999,19,-13.700000000000001,-17.5,-1.5,-3.5,home,Kentucky,5.299999999999999,19,3.8,Lean,Review Only,Review Only,win,0.0,True,True,True,True,0–6.5,2.0–3.9,2.0,2.0
401520284,2023-09-30T16:00:00.000Z,Minnesota,Louisiana,Minnesota,Louisiana,3.1,0.6,5.0,11,-6.0,0.0,-11.0,-12.5,away,Louisiana,-5.0,-11,6.0,Value,Review Only,Review Only,push,0.0,True,True,True,True,0–6.5,4.0–6.9,1.5,1.5
