event_id,home,away,open_home_spread,archival_home_spread,signed_move,absolute_move
401525851,BYU,Cincinnati,-2.5,2.0,4.5,4.5
401524023,Colorado,USC,17.0,21.5,4.5,4.5
401520280,Auburn,Georgia,18.5,14.0,-4.5,4.5
401520285,Mississippi State,Alabama,11.5,14.5,3.0,3.0
401525514,Syracuse,Clemson,9.0,6.5,-2.5,2.5
401520279,Arkansas,Texas A&M,4.0,6.0,2.0,2.0
401520282,Kentucky,Florida,-3.5,-1.5,2.0,2.0
401531880,James Madison,South Alabama,-1.0,-3.0,-2.0,2.0
401520288,Ole Miss,LSU,4.5,2.5,-2.0,2.0
401531883,Southern Miss,Texas State,7.0,5.0,-2.0,2.0
401525853,TCU,West Virginia,-10.5,-12.5,-2.0,2.0
401524021,Arizona,Washington,18.0,20.0,2.0,2.0
401520277,Western Kentucky,Middle Tennessee,-5.5,-7.0,-1.5,1.5
401520284,Minnesota,Louisiana,-12.5,-11.0,1.5,1.5
401520287,Northwestern,Penn State,25.5,27.0,1.5,1.5
401520292,UConn,Utah State,4.5,6.0,1.5,1.5
401525854,Texas,Kansas,-18.0,-16.5,1.5,1.5
401525855,Texas Tech,Houston,-10.0,-8.5,1.5,1.5
401524020,Oregon State,Utah,-2.5,-3.5,-1.0,1.0
401532413,Kent State,Miami (OH),15.5,14.5,-1.0,1.0
401520286,Nebraska,Michigan,18.0,17.0,-1.0,1.0
401525856,UCF,Baylor,-11.5,-12.5,-1.0,1.0
401531424,Navy,South Florida,-4.0,-3.0,1.0,1.0
401520281,Iowa,Michigan State,-11.5,-12.5,-1.0,1.0
401525438,Duke,Notre Dame,6.5,5.5,-1.0,1.0
401531339,Tulsa,Temple,-3.5,-3.0,0.5,0.5
401531370,Tulane,UAB,-21.0,-21.5,-0.5,0.5
401525513,Boston College,Virginia,-3.0,-3.5,-0.5,0.5
401524022,California,Arizona State,-12.0,-12.5,-0.5,0.5
401532409,Western Michigan,Ball State,-1.0,-1.5,-0.5,0.5
401532411,Toledo,Northern Illinois,-12.5,-13.0,-0.5,0.5
401532588,Wyoming,New Mexico,-14.5,-14.0,0.5,0.5
401531414,Rice,East Carolina,-3.0,-3.5,-0.5,0.5
401520291,Tennessee,South Carolina,-13.0,-12.5,0.5,0.5
401531404,SMU,Charlotte,-23.0,-23.5,-0.5,0.5
401520276,Sam Houston,Jacksonville State,6.5,6.5,0.0,0.0
401525512,NC State,Louisville,3.5,3.5,0.0,0.0
401520278,UTEP,Louisiana Tech,-1.0,-1.0,0.0,0.0
401532412,Akron,Buffalo,-2.5,-2.5,0.0,0.0
401532410,Central Michigan,Eastern Michigan,-7.5,-7.5,0.0,0.0
401520283,Maryland,Indiana,-14.0,-14.0,0.0,0.0
401520289,Purdue,Illinois,-1.0,-1.0,0.0,0.0
401525515,Georgia Tech,Bowling Green,-22.0,-22.0,0.0,0.0
401526836,Massachusetts,Arkansas State,-1.0,-1.0,0.0,0.0
401531881,Marshall,Old Dominion,-14.0,-14.0,0.0,0.0
401520293,Vanderbilt,Missouri,13.5,13.5,0.0,0.0
401531429,Memphis,Boise State,-3.5,-3.5,0.0,0.0
401532586,UNLV,Hawai'i,-11.0,-11.0,0.0,0.0
401524024,Stanford,Oregon,27.0,27.0,0.0,0.0
401525852,Oklahoma,Iowa State,-20.0,-20.0,0.0,0.0
401531878,Georgia Southern,Coastal Carolina,-6.5,-6.5,0.0,0.0
401531879,Georgia State,Troy,-1.5,-1.5,0.0,0.0
401525516,Virginia Tech,Pittsburgh,2.5,2.5,0.0,0.0
401531882,UL Monroe,App State,13.5,13.5,0.0,0.0
401532589,Air Force,San Diego State,-10.5,-10.5,0.0,0.0
401532587,Fresno State,Nevada,-24.5,-24.5,0.0,0.0
