event_id,home,away,static_home_margin,weekly_home_margin,abs_line_change,static_abs_error,weekly_abs_error,static_signed_error,weekly_signed_error,archival_abs_error,static_edge,weekly_edge,static_edge_bucket,weekly_edge_bucket,static_rec,weekly_rec,static_model_play,weekly_model_play
401520277,Western Kentucky,Middle Tennessee,11.1,9.6,1.5,9.9,11.4,-9.9,-11.4,14.0,4.1,2.6,4.0–6.9,2.0–3.9,Value,Lean,False,False
401531339,Tulsa,Temple,9.3,5.1,4.200000000000001,12.7,16.9,-12.7,-16.9,19.0,6.3,2.1,4.0–6.9,2.0–3.9,Value,Lean,False,False
401525512,NC State,Louisville,0.2999999999999998,-7.200000000000001,7.500000000000001,3.3,4.200000000000001,3.3,-4.200000000000001,0.5,3.8,3.7,2.0–3.9,2.0–3.9,Lean,Lean,False,False
401520278,UTEP,Louisiana Tech,9.600000000000001,-0.5,10.100000000000001,23.6,13.5,23.6,13.5,15.0,8.6,1.5,7.0–9.9,1.0–1.9,Value,Watch,True,False
401524020,Oregon State,Utah,-2.3999999999999986,1.5,3.8999999999999986,16.4,12.5,-16.4,-12.5,10.5,5.9,2.0,4.0–6.9,2.0–3.9,Value,Lean,False,False
401525851,BYU,Cincinnati,-12.0,2.9,14.9,20.0,5.1,-20.0,-5.1,10.0,10.0,4.9,10.0+,4.0–6.9,Value,Value,False,False
401520279,Arkansas,Texas A&M,5.4,-8.3,13.700000000000001,17.4,3.6999999999999993,17.4,3.6999999999999993,6.0,11.4,2.3,10.0+,2.0–3.9,Value,Lean,False,False
401520282,Kentucky,Florida,5.1,5.299999999999999,0.1999999999999993,13.9,13.700000000000001,-13.9,-13.700000000000001,17.5,3.6,3.8,2.0–3.9,2.0–3.9,Lean,Lean,False,False
401520284,Minnesota,Louisiana,16.5,5.0,11.5,5.5,6.0,5.5,-6.0,0.0,5.5,6.0,4.0–6.9,4.0–6.9,Value,Value,False,False
401520287,Northwestern,Penn State,-33.3,-28.200000000000003,5.099999999999994,5.299999999999997,0.20000000000000284,-5.299999999999997,-0.20000000000000284,1.0,6.3,1.2,4.0–6.9,1.0–1.9,Value,Watch,False,False
401520292,UConn,Utah State,1.200000000000001,-8.399999999999999,9.6,2.200000000000001,7.399999999999999,2.200000000000001,-7.399999999999999,5.0,7.2,2.4,7.0–9.9,2.0–3.9,Value,Lean,True,False
401524023,Colorado,USC,-36.8,-26.200000000000003,10.599999999999994,29.799999999999997,19.200000000000003,-29.799999999999997,-19.200000000000003,14.5,15.3,4.7,10.0+,4.0–6.9,Value,Value,False,False
401525514,Syracuse,Clemson,-12.600000000000001,-2.0000000000000018,10.6,4.399999999999999,14.999999999999998,4.399999999999999,14.999999999999998,10.5,6.1,4.5,4.0–6.9,4.0–6.9,Value,Value,False,False
401531370,Tulane,UAB,15.4,23.1,7.700000000000001,3.4000000000000004,11.100000000000001,3.4000000000000004,11.100000000000001,9.5,6.1,1.6,4.0–6.9,1.0–1.9,Value,Watch,False,False
401531880,James Madison,South Alabama,-1.8000000000000007,3.7,5.500000000000001,9.8,4.3,-9.8,-4.3,5.0,4.8,0.7,4.0–6.9,<1.0,Value,No Play,False,False
