season,display_team,model_team,classification,source,source_url,notes
2023,Air Force,Air Force,fbs,CFBD teams/fbs 2023,https://api.collegefootballdata.com/teams/fbs?year=2023,Historical 2023 FBS eligibility; model_team matches archived ESPN SP+ key.
2023,Akron,Akron,fbs,CFBD teams/fbs 2023,https://api.collegefootballdata.com/teams/fbs?year=2023,Historical 2023 FBS eligibility; model_team matches archived ESPN SP+ key.
2023,Alabama,Alabama,fbs,CFBD teams/fbs 2023,https://api.collegefootballdata.com/teams/fbs?year=2023,Historical 2023 FBS eligibility; model_team matches archived ESPN SP+ key.
2023,App State,App. St.,fbs,CFBD teams/fbs 2023,https://api.collegefootballdata.com/teams/fbs?year=2023,Historical 2023 FBS eligibility; model_team matches archived ESPN SP+ key.
2023,Arizona,Arizona,fbs,CFBD teams/fbs 2023,https://api.collegefootballdata.com/teams/fbs?year=2023,Historical 2023 FBS eligibility; model_team matches archived ESPN SP+ key.
2023,Arizona State,Arizona St.,fbs,CFBD teams/fbs 2023,https://api.collegefootballdata.com/teams/fbs?year=2023,Historical 2023 FBS eligibility; model_team matches archived ESPN SP+ key.
2023,Arkansas,Arkansas,fbs,CFBD teams/fbs 2023,https://api.collegefootballdata.com/teams/fbs?year=2023,Historical 2023 FBS eligibility; model_team matches archived ESPN SP+ key.
2023,Arkansas State,Arkansas St.,fbs,CFBD teams/fbs 2023,https://api.collegefootballdata.com/teams/fbs?year=2023,Historical 2023 FBS eligibility; model_team matches archived ESPN SP+ key.
2023,Army,Army,fbs,CFBD teams/fbs 2023,https://api.collegefootballdata.com/teams/fbs?year=2023,Historical 2023 FBS eligibility; model_team matches archived ESPN SP+ key.
2023,Auburn,Auburn,fbs,CFBD teams/fbs 2023,https://api.collegefootballdata.com/teams/fbs?year=2023,Historical 2023 FBS eligibility; model_team matches archived ESPN SP+ key.
2023,BYU,BYU,fbs,CFBD teams/fbs 2023,https://api.collegefootballdata.com/teams/fbs?year=2023,Historical 2023 FBS eligibility; model_team matches archived ESPN SP+ key.
2023,Ball State,Ball St.,fbs,CFBD teams/fbs 2023,https://api.collegefootballdata.com/teams/fbs?year=2023,Historical 2023 FBS eligibility; model_team matches archived ESPN SP+ key.
2023,Baylor,Baylor,fbs,CFBD teams/fbs 2023,https://api.collegefootballdata.com/teams/fbs?year=2023,Historical 2023 FBS eligibility; model_team matches archived ESPN SP+ key.
