event_id,season,week,kickoff,home_team,away_team,selected_team,selected_side,provider,line_source,historical_market_line,market_price,price_available,opening_market_line,model_line,projected_selected_margin,edge_points,recommendation,actionability,confidence_score,model_suggested_units,signal_source,home_score,away_score,actual_selected_side_margin,signed_forecast_error,absolute_forecast_error,market_absolute_error,ats_result,ratings_season,ratings_target_week,ratings_source,ratings_source_label,ratings_source_url,ratings_published_at,ratings_safe_after,ratings_sha256,replay_as_of,model_version,production_code_sha256
401520277,2023,5,2023-09-28T23:30:00.000Z,Western Kentucky,Middle Tennessee,Western Kentucky,home,DraftKings,CFBD /lines archival DraftKings,-7.0,,False,-5.5,-9.6,9.6,2.6,Lean,Review Only,60,0.0,NCAAF Spread Model v0.6 Backtested Edge Window | Recommendation: Lean | Confidence: 60 | Home Tier: Historical weekly SP+ snapshot; Away Tier: Historical weekly SP+ snapshot; Home Source: Bill Connelly ESPN post-Week 4 SP+; Away Source: Bill Connelly ESPN post-Week 4 SP+,31,10,21,11.4,11.4,14.0,win,2023,5,ESPN,Bill Connelly ESPN post-Week 4 SP+,https://www.espn.com/college-football/insider/story/_/id/38478223/college-football-2023-week-4-sp%2B-rankings-takeaways,2023-09-24T09:00:00-04:00,2023-09-24T09:00:00-04:00,0233e6ee072b577c7c41c23467b53ce847c25e731390919061f2496c180b6fb5,2023-09-24T09:00:00-04:00,NCAAF v0.6 frozen production logic,943a78d33262da5cfec4b3490cf62ed35b839a1a424a2fe5f33bb23d27f8931b
401531339,2023,5,2023-09-28T23:30:00.000Z,Tulsa,Temple,Tulsa,home,DraftKings,CFBD /lines archival DraftKings,-3.0,,False,-3.5,-5.1,5.1,2.1,Lean,Review Only,58,0.0,NCAAF Spread Model v0.6 Backtested Edge Window | Recommendation: Lean | Confidence: 58 | Home Tier: Historical weekly SP+ snapshot; Away Tier: Historical weekly SP+ snapshot; Home Source: Bill Connelly ESPN post-Week 4 SP+; Away Source: Bill Connelly ESPN post-Week 4 SP+,48,26,22,16.9,16.9,19.0,win,2023,5,ESPN,Bill Connelly ESPN post-Week 4 SP+,https://www.espn.com/college-football/insider/story/_/id/38478223/college-football-2023-week-4-sp%2B-rankings-takeaways,2023-09-24T09:00:00-04:00,2023-09-24T09:00:00-04:00,0233e6ee072b577c7c41c23467b53ce847c25e731390919061f2496c180b6fb5,2023-09-24T09:00:00-04:00,NCAAF v0.6 frozen production logic,943a78d33262da5cfec4b3490cf62ed35b839a1a424a2fe5f33bb23d27f8931b
401520276,2023,5,2023-09-29T00:00:00.000Z,Sam Houston,Jacksonville State,Jacksonville State,away,DraftKings,CFBD /lines archival DraftKings,-6.5,,False,-6.5,-7.3,7.3,0.8,No Play,No Play,53,0.0,NCAAF Spread Model v0.6 Backtested Edge Window | Recommendation: No Play | Confidence: 53 | Home Tier: Historical weekly SP+ snapshot; Away Tier: Historical weekly SP+ snapshot; Home Source: Bill Connelly ESPN post-Week 4 SP+; Away Source: Bill Connelly ESPN post-Week 4 SP+,28,35,7,-0.3,0.3,0.5,win,2023,5,ESPN,Bill Connelly ESPN post-Week 4 SP+,https://www.espn.com/college-football/insider/story/_/id/38478223/college-football-2023-week-4-sp%2B-rankings-takeaways,2023-09-24T09:00:00-04:00,2023-09-24T09:00:00-04:00,0233e6ee072b577c7c41c23467b53ce847c25e731390919061f2496c180b6fb5,2023-09-24T09:00:00-04:00,NCAAF v0.6 frozen production logic,943a78d33262da5cfec4b3490cf62ed35b839a1a424a2fe5f33bb23d27f8931b
401525512,2023,5,2023-09-29T23:00:00.000Z,NC State,Louisville,Louisville,away,DraftKings,CFBD /lines archival DraftKings,-3.5,,False,-3.5,-7.2,7.2,3.7,Lean,Review Only,64,0.0,NCAAF Spread Model v0.6 Backtested Edge Window | Recommendation: Lean | Confidence: 64 | Home Tier: Historical weekly SP+ snapshot; Away Tier: Historical weekly SP+ snapshot; Home Source: Bill Connelly ESPN post-Week 4 SP+; Away Source: Bill Connelly ESPN post-Week 4 SP+,10,13,3,-4.2,4.2,0.5,loss,2023,5,ESPN,Bill Connelly ESPN post-Week 4 SP+,https://www.espn.com/college-football/insider/story/_/id/38478223/college-football-2023-week-4-sp%2B-rankings-takeaways,2023-09-24T09:00:00-04:00,2023-09-24T09:00:00-04:00,0233e6ee072b577c7c41c23467b53ce847c25e731390919061f2496c180b6fb5,2023-09-24T09:00:00-04:00,NCAAF v0.6 frozen production logic,943a78d33262da5cfec4b3490cf62ed35b839a1a424a2fe5f33bb23d27f8931b
401520278,2023,5,2023-09-30T01:00:00.000Z,UTEP,Louisiana Tech,Louisiana Tech,away,DraftKings,CFBD /lines archival DraftKings,1.0,,False,1.0,-0.5,0.5,1.5,Watch,Review Only,56,0.0,NCAAF Spread Model v0.6 Backtested Edge Window | Recommendation: Watch | Confidence: 56 | Home Tier: Historical weekly SP+ snapshot; Away Tier: Historical weekly SP+ snapshot; Home Source: Bill Connelly ESPN post-Week 4 SP+; Away Source: Bill Connelly ESPN post-Week 4 SP+,10,24,14,13.5,13.5,15.0,win,2023,5,ESPN,Bill Connelly ESPN post-Week 4 SP+,https://www.espn.com/college-football/insider/story/_/id/38478223/college-football-2023-week-4-sp%2B-rankings-takeaways,2023-09-24T09:00:00-04:00,2023-09-24T09:00:00-04:00,0233e6ee072b577c7c41c23467b53ce847c25e731390919061f2496c180b6fb5,2023-09-24T09:00:00-04:00,NCAAF v0.6 frozen production logic,943a78d33262da5cfec4b3490cf62ed35b839a1a424a2fe5f33bb23d27f8931b
401524020,2023,5,2023-09-30T01:00:00.000Z,Oregon State,Utah,Utah,away,DraftKings,CFBD /lines archival DraftKings,3.5,,False,2.5,1.5,-1.5,2.0,Lean,Review Only,58,0.0,NCAAF Spread Model v0.6 Backtested Edge Window | Recommendation: Lean | Confidence: 58 | Home Tier: Historical weekly SP+ snapshot; Away Tier: Historical weekly SP+ snapshot; Home Source: Bill Connelly ESPN post-Week 4 SP+; Away Source: Bill Connelly ESPN post-Week 4 SP+,21,7,-14,-12.5,12.5,10.5,loss,2023,5,ESPN,Bill Connelly ESPN post-Week 4 SP+,https://www.espn.com/college-football/insider/story/_/id/38478223/college-football-2023-week-4-sp%2B-rankings-takeaways,2023-09-24T09:00:00-04:00,2023-09-24T09:00:00-04:00,0233e6ee072b577c7c41c23467b53ce847c25e731390919061f2496c180b6fb5,2023-09-24T09:00:00-04:00,NCAAF v0.6 frozen production logic,943a78d33262da5cfec4b3490cf62ed35b839a1a424a2fe5f33bb23d27f8931b
401525851,2023,5,2023-09-30T02:15:00.000Z,BYU,Cincinnati,BYU,home,DraftKings,CFBD /lines archival DraftKings,2.0,,False,-2.5,-2.9,2.9,4.9,Value,Review Only,69,0.0,NCAAF Spread Model v0.6 Backtested Edge Window | Recommendation: Value | Confidence: 69 | Home Tier: Historical weekly SP+ snapshot; Away Tier: Historical weekly SP+ snapshot; Home Source: Bill Connelly ESPN post-Week 4 SP+; Away Source: Bill Connelly ESPN post-Week 4 SP+ | Guards: below backtested actionable window,35,27,8,5.1,5.1,10.0,win,2023,5,ESPN,Bill Connelly ESPN post-Week 4 SP+,https://www.espn.com/college-football/insider/story/_/id/38478223/college-football-2023-week-4-sp%2B-rankings-takeaways,2023-09-24T09:00:00-04:00,2023-09-24T09:00:00-04:00,0233e6ee072b577c7c41c23467b53ce847c25e731390919061f2496c180b6fb5,2023-09-24T09:00:00-04:00,NCAAF v0.6 frozen production logic,943a78d33262da5cfec4b3490cf62ed35b839a1a424a2fe5f33bb23d27f8931b
401520279,2023,5,2023-09-30T16:00:00.000Z,Arkansas,Texas A&M,Texas A&M,away,DraftKings,CFBD /lines archival DraftKings,-6.0,,False,-4.0,-8.3,8.3,2.3,Lean,Review Only,59,0.0,NCAAF Spread Model v0.6 Backtested Edge Window | Recommendation: Lean | Confidence: 59 | Home Tier: Historical weekly SP+ snapshot; Away Tier: Historical weekly SP+ snapshot; Home Source: Bill Connelly ESPN post-Week 4 SP+; Away Source: Bill Connelly ESPN post-Week 4 SP+,22,34,12,3.7,3.7,6.0,win,2023,5,ESPN,Bill Connelly ESPN post-Week 4 SP+,https://www.espn.com/college-football/insider/story/_/id/38478223/college-football-2023-week-4-sp%2B-rankings-takeaways,2023-09-24T09:00:00-04:00,2023-09-24T09:00:00-04:00,0233e6ee072b577c7c41c23467b53ce847c25e731390919061f2496c180b6fb5,2023-09-24T09:00:00-04:00,NCAAF v0.6 frozen production logic,943a78d33262da5cfec4b3490cf62ed35b839a1a424a2fe5f33bb23d27f8931b
401520282,2023,5,2023-09-30T16:00:00.000Z,Kentucky,Florida,Kentucky,home,DraftKings,CFBD /lines archival DraftKings,-1.5,,False,-3.5,-5.3,5.3,3.8,Lean,Review Only,65,0.0,NCAAF Spread Model v0.6 Backtested Edge Window | Recommendation: Lean | Confidence: 65 | Home Tier: Historical weekly SP+ snapshot; Away Tier: Historical weekly SP+ snapshot; Home Source: Bill Connelly ESPN post-Week 4 SP+; Away Source: Bill Connelly ESPN post-Week 4 SP+,33,14,19,13.7,13.7,17.5,win,2023,5,ESPN,Bill Connelly ESPN post-Week 4 SP+,https://www.espn.com/college-football/insider/story/_/id/38478223/college-football-2023-week-4-sp%2B-rankings-takeaways,2023-09-24T09:00:00-04:00,2023-09-24T09:00:00-04:00,0233e6ee072b577c7c41c23467b53ce847c25e731390919061f2496c180b6fb5,2023-09-24T09:00:00-04:00,NCAAF v0.6 frozen production logic,943a78d33262da5cfec4b3490cf62ed35b839a1a424a2fe5f33bb23d27f8931b
401520284,2023,5,2023-09-30T16:00:00.000Z,Minnesota,Louisiana,Louisiana,away,DraftKings,CFBD /lines archival DraftKings,11.0,,False,12.5,5.0,-5.0,6.0,Value,Review Only,74,0.0,NCAAF Spread Model v0.6 Backtested Edge Window | Recommendation: Value | Confidence: 74 | Home Tier: Historical weekly SP+ snapshot; Away Tier: Historical weekly SP+ snapshot; Home Source: Bill Connelly ESPN post-Week 4 SP+; Away Source: Bill Connelly ESPN post-Week 4 SP+ | Guards: below backtested actionable window,35,24,-11,-6.0,6.0,0.0,push,2023,5,ESPN,Bill Connelly ESPN post-Week 4 SP+,https://www.espn.com/college-football/insider/story/_/id/38478223/college-football-2023-week-4-sp%2B-rankings-takeaways,2023-09-24T09:00:00-04:00,2023-09-24T09:00:00-04:00,0233e6ee072b577c7c41c23467b53ce847c25e731390919061f2496c180b6fb5,2023-09-24T09:00:00-04:00,NCAAF v0.6 frozen production logic,943a78d33262da5cfec4b3490cf62ed35b839a1a424a2fe5f33bb23d27f8931b
